rowid,order,family,genus,species,longitude,latitude,year,source
2704,Primates,Cebidae,Sapajus,Sapajus libidinosus,-42.53333333,-8.666666667,NA,atlantic_primates
2705,Primates,Atelidae,Alouatta,Alouatta guariba,-39.91666667,-19.18333333,NA,atlantic_primates
2706,Primates,Pitheciidae,Callicebus,Callicebus personatus,-40.14861111,-19.04638889,NA,atlantic_primates
2707,Primates,Pitheciidae,Callicebus,Callicebus personatus,-39.91666667,-19.18333333,NA,atlantic_primates
2708,Primates,Cebidae,Sapajus,Sapajus robustus,-39.91666667,-19.18333333,NA,atlantic_primates
2709,Primates,Cebidae,Sapajus,Sapajus robustus,-40.08333333,-19.05,NA,atlantic_primates
2710,Primates,Cebidae,Sapajus,Sapajus robustus,-40.14666667,-18.3425,NA,atlantic_primates
2711,Primates,Atelidae,Alouatta,Alouatta belzebul,-47.58333333,-2.916666667,NA,atlantic_primates
2712,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.5,-25.66666667,NA,atlantic_primates
2713,Primates,Atelidae,Alouatta,Alouatta caraya,-53.83333333,-26.5,NA,atlantic_primates
2714,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-42.85638889,-20.80166667,NA,atlantic_primates
2715,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.83333333,-19.83333333,NA,atlantic_primates
2716,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,-43.1,-22.5,NA,atlantic_primates
2717,Primates,Atelidae,Alouatta,Alouatta caraya,-47.9,-15.93333333,NA,atlantic_primates
2718,Primates,Callitrichidae,Callithrix,Callithrix penicillata,-47.9,-15.93333333,NA,atlantic_primates
2719,Primates,Cebidae,Sapajus,Sapajus libidinosus,-47.9,-15.93333333,NA,atlantic_primates
2720,Primates,Atelidae,Alouatta,Alouatta guariba,-51.05,-23.26666667,NA,atlantic_primates
2721,Primates,Pitheciidae,Callicebus,Callicebus melanochir,-39.15,-13.73166667,NA,atlantic_primates
2722,Primates,Cebidae,Sapajus,Sapajus xanthosternos,-39.15,-13.73166667,NA,atlantic_primates
2723,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,-42.03333333,-22.45,NA,atlantic_primates
2724,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.83333333,-19.83333333,NA,atlantic_primates
2725,Primates,Cebidae,Sapajus,Sapajus nigritus,-51.05,-23.26666667,NA,atlantic_primates
2726,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-42.58333333,-22.71666667,NA,atlantic_primates
2727,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,-42.58333333,-22.71666667,NA,atlantic_primates
2728,Primates,Atelidae,Alouatta,Alouatta caraya,-52.97430556,-28.87752778,NA,atlantic_primates
2729,Primates,Atelidae,Alouatta,Alouatta caraya,-54.87158333,-29.16797222,NA,atlantic_primates
2730,Primates,Atelidae,Alouatta,Alouatta caraya,-53.97972222,-29.12666667,NA,atlantic_primates
2731,Primates,Atelidae,Alouatta,Alouatta caraya,-53.97927778,-29.12558333,NA,atlantic_primates
2732,Primates,Atelidae,Alouatta,Alouatta caraya,-55.16636111,-29.09388889,NA,atlantic_primates
2733,Primates,Atelidae,Alouatta,Alouatta caraya,-53.59302778,-29.03794444,NA,atlantic_primates
2734,Primates,Atelidae,Alouatta,Alouatta caraya,-53.47683333,-28.99716667,NA,atlantic_primates
2735,Primates,Atelidae,Alouatta,Alouatta caraya,-53.62380556,-28.98747222,NA,atlantic_primates
2736,Primates,Atelidae,Alouatta,Alouatta caraya,-53.37622222,-28.94244444,NA,atlantic_primates
2737,Primates,Atelidae,Alouatta,Alouatta caraya,-53.37622222,-28.94244444,NA,atlantic_primates
2738,Primates,Atelidae,Alouatta,Alouatta caraya,-53.50672222,-28.903,NA,atlantic_primates
2739,Primates,Atelidae,Alouatta,Alouatta caraya,-53.4015,-28.85125,NA,atlantic_primates
2740,Primates,Atelidae,Alouatta,Alouatta caraya,-53.60022222,-28.81694444,NA,atlantic_primates
2741,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,-42.03333333,-22.45,NA,atlantic_primates
2742,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,-42.58333333,-22.71666667,NA,atlantic_primates
2743,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-42.85,-20.75,NA,atlantic_primates
2744,Primates,Cebidae,Sapajus,Sapajus nigritus,-47.95,-24.11666667,NA,atlantic_primates
2745,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,-47.96666667,-24.49166667,NA,atlantic_primates
2746,Primates,Atelidae,Alouatta,Alouatta guariba,-40.08333333,-19.05,NA,atlantic_primates
2747,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,-47.73333333,-24.73333333,NA,atlantic_primates
2748,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,-43.23333333,-22.58333333,NA,atlantic_primates
2749,Primates,Atelidae,Alouatta,Alouatta caraya,-58.68333333,-27.5,NA,atlantic_primates
2750,Primates,Pitheciidae,Callicebus,Callicebus coimbrai,-37.23333333,-11.2,NA,atlantic_primates
2751,Primates,Cebidae,Sapajus,Sapajus xanthosternos,-37.23333333,-11.2,NA,atlantic_primates
2752,Primates,Atelidae,Alouatta,Alouatta belzebul,-50.33333333,-3.833333333,NA,atlantic_primates
2753,Primates,Atelidae,Alouatta,Alouatta belzebul,-51.45,-1.75,NA,atlantic_primates
2754,Primates,Atelidae,Alouatta,Alouatta caraya,-53.25,-22.725,NA,atlantic_primates
2755,Primates,Cebidae,Sapajus,Sapajus cay,-53.405,-22.73333333,NA,atlantic_primates
2756,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.25,-22.725,NA,atlantic_primates
2757,Primates,Atelidae,Alouatta,Alouatta caraya,-58.68333333,-27.5,NA,atlantic_primates
2758,Primates,Atelidae,Alouatta,Alouatta guariba,-45.4,-23.5,NA,atlantic_primates
2759,Primates,Cebidae,Sapajus,Sapajus nigritus,-51.60833333,-26.3,NA,atlantic_primates
2760,Primates,Callitrichidae,Callithrix,Callithrix flaviceps,-40.553668,-19.907406,2008,atlantic_primates
2761,Primates,Atelidae,Alouatta,Alouatta guariba,-46.964709,-23.002464,NA,atlantic_primates
2762,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-46.964346,-23.004096,NA,atlantic_primates
2763,Primates,Callitrichidae,Callithrix,Callithrix sp.,-46.966645,-23.001908,NA,atlantic_primates
2764,Primates,Atelidae,Alouatta,Alouatta guariba,-46.927576,-22.828395,2003,atlantic_primates
2765,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-46.927576,-22.828395,2003,atlantic_primates
2766,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-46.927576,-22.828395,2003,atlantic_primates
2767,Primates,Atelidae,Alouatta,Alouatta guariba,-47.11027778,-22.82027778,2003,atlantic_primates
2768,Primates,Cebidae,Sapajus,Sapajus nigritus,-47.11027778,-22.82027778,2004,atlantic_primates
2769,Primates,Pitheciidae,Callicebus,Callicebus coimbrai,-37.258632,-11.169783,NA,atlantic_primates
2770,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-37.258632,-11.169783,NA,atlantic_primates
2771,Primates,Atelidae,Alouatta,Alouatta guariba,-39.930546,-19.128473,NA,atlantic_primates
2772,Primates,Pitheciidae,Callicebus,Callicebus personatus,-39.930546,-19.128473,NA,atlantic_primates
2773,Primates,Callitrichidae,Callithrix,Callithrix geoffroyi,-39.930546,-19.128473,NA,atlantic_primates
2774,Primates,Cebidae,Sapajus,Sapajus robustus,-39.930546,-19.128473,NA,atlantic_primates
2775,Primates,Atelidae,Alouatta,Alouatta guariba,-49.6496936,-25.4918826,2005,atlantic_primates
2776,Primates,Atelidae,Alouatta,Alouatta guariba,-53.9,-27.15,2008,atlantic_primates
2777,Primates,Atelidae,Alouatta,Alouatta guariba,-53.99,-26.51,2008,atlantic_primates
2778,Primates,Atelidae,Alouatta,Alouatta guariba,-53.899892,-26.466453,NA,atlantic_primates
2779,Primates,Atelidae,Alouatta,Alouatta guariba,-54.034121,-26.689264,NA,atlantic_primates
2780,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.12,-25.51,2008,atlantic_primates
2781,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.09,-25.6,2008,atlantic_primates
2782,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.991673,-26.513549,2008,atlantic_primates
2783,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.9,-27.15,2008,atlantic_primates
2784,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.90944444,-26.83277778,2008,atlantic_primates
2785,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.99003333,-26.52093333,2010,atlantic_primates
2786,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.88863333,-26.89868333,2010,atlantic_primates
2787,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.9124,-26.74073333,2010,atlantic_primates
2788,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.2377,-26.94533333,2010,atlantic_primates
2789,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.1761,-26.9837,2010,atlantic_primates
2790,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.90186667,-27.1562,2010,atlantic_primates
2791,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.22753333,-26.86963333,2010,atlantic_primates
2792,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.73243333,-26.60163333,2010,atlantic_primates
2793,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.03126667,-26.48731667,2010,atlantic_primates
2794,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.14623333,-27.02021667,2010,atlantic_primates
2795,Primates,Atelidae,Alouatta,Alouatta guariba,-53.99003333,-26.52093333,NA,atlantic_primates
2796,Primates,Atelidae,Alouatta,Alouatta guariba,-53.92113333,-26.46593333,NA,atlantic_primates
2797,Primates,Atelidae,Alouatta,Alouatta guariba,-53.91268333,-26.48256667,NA,atlantic_primates
2798,Primates,Atelidae,Alouatta,Alouatta guariba,-54.1761,-26.9837,NA,atlantic_primates
2799,Primates,Atelidae,Alouatta,Alouatta guariba,-53.84446667,-26.42798333,NA,atlantic_primates
2800,Primates,Atelidae,Alouatta,Alouatta guariba,-54.06846667,-26.55716667,NA,atlantic_primates
2801,Primates,Atelidae,Alouatta,Alouatta guariba,-54.15426667,-27.01938333,NA,atlantic_primates
2802,Primates,Atelidae,Alouatta,Alouatta guariba,-53.9016,-27.15296667,NA,atlantic_primates
2803,Primates,Atelidae,Alouatta,Alouatta guariba,-54.265,-26.68777778,NA,atlantic_primates
2804,Primates,Atelidae,Alouatta,Alouatta guariba,-53.84446667,-26.42798333,NA,atlantic_primates
2805,Primates,Atelidae,Alouatta,Alouatta caraya,-53.84446667,-26.42798333,NA,atlantic_primates
2806,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.84446667,-26.42798333,NA,atlantic_primates
2807,Primates,Atelidae,Alouatta,Alouatta guariba,-53.91536667,-26.73776667,NA,atlantic_primates
2808,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.91536667,-26.73776667,NA,atlantic_primates
